"address","name","symbol","mc","liqPercent"
"ARdZpamGpboF35i5Vb94wFPAe1kNgSnqwrMKkcXgdoQM","$BLIMP","BLIMP",423048.3165640333,0.17933930191318798
"8RGy4BZUEkW9dc2UEZ3QHYYdas66X63vazdZJezGJw5e","bul","bul",869543.0659122675,0.17893785043983254
"9ZoH3ssTQBJNVidsLo49q3buDidreiZc9g3NeETP3F2s","PONZI","PONZI",349312.7309125459,0.17783616093978852
"7zBbQAPGgoKvqcK74Yua8qGwEkEjAZxUPb5m3kKvvHyF","Wall Street Baby","WSB",577837.4686505642,0.1769871198860235
"31iQsahfa4CMiirU7REygBzuAWg4R4ah7Y4aDu9ZfXJP","Solzilla","SOLZILLA",908228.1671383469,0.17661365225326406
"t5cSTUSZzUAQXQKzQvhieFG4Hz4xC23z9du1Chp8gES","KORRA","KORRA",608473.8232593668,0.17650846389879626
"BMQZzVJa1X5cBYc8fCRVbWuFC4czA1s5GE3HekWfuhjz","burek obema","obema",570166.8750195856,0.17603022359899903
"DEhDXhtUFuz6Uodhde3rznGbVbdiECahp1kTHnFpsna3","Odie","Odie",1311818.092875772,0.17573030654653302
"8uz7r3yQq8xnwBfWCoQGAftyYKgUz8wMQWod884nerf4","SpainCoin","ESP",411190.41521619464,0.17557338513756351
"9bxaVJmUwSc71j8Z2pvUL3UAr1s5fCnwUpvYhqV9jtmw","Mewing Coin","MEWING",1233107.9146394723,0.1752571756253703
"CDW5fC3Fp69Km6Kg4xTf5SiFqP3B24wt2SVK9GwG6LUs","Dildo BagHands","DILDO",190638.42110557322,0.1752134964243564
"Gv7sW9pe9khuPjCYmRUTmHNAFm8yWDJVtDVyA1DExqr4","Pigeon In Yellow Boots","PIGEON",280366.28785189166,0.17504468673716497
"EVDoPXkWNRMc7fQirg7emNdc17KNqsCyzVi4mWPmDvni","CATVAX","CATVAX",3361653.9001060897,0.17482243014013157
"SNApmcWQqj3Ny2YFkQmkELQnNgaXRu6KmnYSPiFZcLn","SolSnap","SNAP",1326520.0273258835,0.1747383377120718
"A53BzB7297SXdF6mguQQ8kzqjVYt8pUeHW5m1i8pD6hf","anon coin","ANON",597303.2575497879,0.17463926940391156
"4vqYQTjmKjxrWGtbL2tVkbAU1EVAz9JwcYtd2VE3PbVU","Anita Max Wynn","WYNN",4439939.139048008,0.1736320492395962
"J8cKU4pD2NTSovvV5XghWHQiJy5TTEzgSyozorxz6ax8","Solordi","$SOLO",2412738.8008443927,0.17303703205797927
"J4ywFdm8H7hjwKzCaEQujhkDRfCnRviVnHMvFNDAoLNQ","Soul Scanner","SOUL",396547.5257072549,0.17177131610589805
"CuT9K2gHd7ShPXhGxpXUYz5L9EQJ94tRW3c8Yfzowo34","hog","hog",104134.7883922011,0.17176041059095173
